gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,consolidator,0.65,0,0.44162,Гипотеза consolidator: вход от 3 плательщиков; 1 получателей; вход 110000.00 KZT.
100000000018102100,peripheral,0.2,0,0.342567,"Гипотеза peripheral: входов 1, выходов 0; вход 7000.00, выход 0.00 KZT; сильные правила не выполнены."
100000000031787100,transit,1.0,1,0.336149,"Гипотеза transit: входов 1, выходов 2; наблюдаемый выход/вход 1.000; вход 90000.00 KZT."
100000000041368100,terminal,1.0,2,0.420782,Гипотеза terminal: наблюдаемый выход/вход 0.000 ≤ 0.2; вход 160000.00 KZT; вне границы обхода.
100000000076451100,coordinator,0.88,3,0.471244,"Гипотеза coordinator: связь с 7 seed по путям; входов 3, выходов 4; посредничество 0.00009."
100000000089154100,distributor,0.875,0,0.530399,Гипотеза distributor: выход к 15 получателям при 1 плательщиках; выход 425500.00 KZT.
100000000190228100,peripheral,0.2,4,0.400457,"Гипотеза peripheral: входов 1, выходов 1; вход 5000.00, выход 28560.00 KZT; сильные правила не выполнены."
100000000201868100,transit,1.0,5,0.434291,"Гипотеза transit: входов 1, выходов 1; наблюдаемый выход/вход 1.000; вход 190000.00 KZT."
100000000254336100,peripheral,0.2,0,0.434268,"Гипотеза peripheral: входов 2, выходов 1; вход 97177.00, выход 60000.00 KZT; сильные правила не выполнены."
100000000267734100,distributor,0.675,1,0.401543,Гипотеза distributor: выход к 7 получателям при 2 плательщиках; выход 282000.00 KZT.
100000000274067100,peripheral,0.2,1,0.409682,"Гипотеза peripheral: входов 2, выходов 3; вход 517704.00, выход 2969000.00 KZT; сильные правила не выполнены."
100000000287768100,terminal,1.0,0,0.371063,Гипотеза terminal: наблюдаемый выход/вход 0.000 ≤ 0.2; вход 35168.00 KZT; вне границы обхода.
100000000288317100,peripheral,0.2,0,0.456088,"Гипотеза peripheral: входов 2, выходов 3; вход 100000.00, выход 53500.00 KZT; сильные правила не выполнены."
100000000291906100,transit,0.825119,6,0.477168,"Гипотеза transit: входов 2, выходов 2; наблюдаемый выход/вход 1.175; вход 388000.00 KZT."
100000000291908100,terminal,0.887479,6,0.431245,Гипотеза terminal: наблюдаемый выход/вход 0.045 ≤ 0.2; вход 295500.00 KZT; вне границы обхода.
100000000297649100,peripheral,0.2,7,0.420998,"Гипотеза peripheral: входов 1, выходов 1; вход 40000.00, выход 70600.00 KZT; сильные правила не выполнены."
100000000299820100,peripheral,0.2,8,0.348863,"Гипотеза peripheral: входов 1, выходов 0; вход 10000.00, выход 0.00 KZT; сильные правила не выполнены."
100000000307908100,terminal,1.0,9,0.236628,Гипотеза terminal: наблюдаемый выход/вход 0.000 ≤ 0.2; вход 5000.00 KZT; вне границы обхода.
100000000331309100,coordinator,0.88,10,0.776904,"Гипотеза coordinator: связь с 7 seed по путям; входов 5, выходов 99; посредничество 0.00283."
100000000332284100,coordinator,0.88,10,0.518469,"Гипотеза coordinator: связь с 7 seed по путям; входов 10, выходов 3; посредничество 0.00010."
100000000343175100,coordinator,0.88,11,0.63887,"Гипотеза coordinator: связь с 7 seed по путям; входов 8, выходов 31; посредничество 0.00091."
