rank,gid,role,priority_score,why
1,100000008346837100,coordinator,0.837198,Приоритет проверки 0.837: оборот 1513002.00 KZT; связей 34; путей от seed 7; посредничество 0.00847.
2,100000006866783100,coordinator,0.804213,Приоритет проверки 0.804: оборот 4786849.00 KZT; связей 80; путей от seed 6; посредничество 0.00550.
3,100000003016635100,coordinator,0.785262,Приоритет проверки 0.785: оборот 10001062.00 KZT; связей 81; путей от seed 6; посредничество 0.00440.
4,100000000331309100,coordinator,0.776904,Приоритет проверки 0.777: оборот 23986010.00 KZT; связей 104; путей от seed 7; посредничество 0.00283.
5,100000004400305100,coordinator,0.775087,Приоритет проверки 0.775: оборот 6052981.00 KZT; связей 89; путей от seed 7; посредничество 0.00386.
6,100000008603629100,coordinator,0.762143,Приоритет проверки 0.762: оборот 6803456.00 KZT; связей 80; путей от seed 7; посредничество 0.00354.
7,100000005704413100,coordinator,0.761681,Приоритет проверки 0.762: оборот 1461427.67 KZT; связей 35; путей от seed 7; посредничество 0.00588.
8,100000003684369100,coordinator,0.735495,Приоритет проверки 0.735: оборот 12437091.00 KZT; связей 86; путей от seed 9; посредничество 0.00160.
9,100000005910114100,coordinator,0.724317,Приоритет проверки 0.724: оборот 1796137.00 KZT; связей 22; путей от seed 7; посредничество 0.00528.
10,100000008477350100,coordinator,0.703029,Приоритет проверки 0.703: оборот 3984966.00 KZT; связей 50; путей от seed 7; посредничество 0.00268.
11,100000000437046100,coordinator,0.697535,Приоритет проверки 0.698: оборот 8713424.00 KZT; связей 51; путей от seed 7; посредничество 0.00199.
12,100000002957787100,coordinator,0.694269,Приоритет проверки 0.694: оборот 1361109.96 KZT; связей 38; путей от seed 7; посредничество 0.00350.
13,100000004070318100,coordinator,0.690173,Приоритет проверки 0.690: оборот 759106.55 KZT; связей 23; путей от seed 7; посредничество 0.00457.
14,100000005933757100,coordinator,0.673036,Приоритет проверки 0.673: оборот 4248628.00 KZT; связей 38; путей от seed 7; посредничество 0.00210.
15,100000008304139100,coordinator,0.662433,Приоритет проверки 0.662: оборот 1882326.75 KZT; связей 28; путей от seed 7; посредничество 0.00275.
16,100000000343175100,coordinator,0.63887,Приоритет проверки 0.639: оборот 4178751.00 KZT; связей 39; путей от seed 7; посредничество 0.00091.
17,100000008489922100,coordinator,0.635898,Приоритет проверки 0.636: оборот 4051910.00 KZT; связей 39; путей от seed 8; посредничество 0.00054.
18,100000008547948100,coordinator,0.635605,Приоритет проверки 0.636: оборот 5398265.00 KZT; связей 32; путей от seed 8; посредничество 0.00070.
19,100000008748914100,distributor,0.632066,Приоритет проверки 0.632: оборот 4651847.00 KZT; связей 15; путей от seed 1; посредничество 0.00562.
20,100000008460102100,distributor,0.628807,Приоритет проверки 0.629: оборот 494070.00 KZT; связей 32; путей от seed 1; посредничество 0.00557.
21,100000008104567100,coordinator,0.625922,Приоритет проверки 0.626: оборот 93550.00 KZT; связей 6; путей от seed 7; посредничество 0.00583.
22,100000008710791100,coordinator,0.62027,Приоритет проверки 0.620: оборот 5703021.00 KZT; связей 26; путей от seed 9; посредничество 0.00024.
23,100000004351795100,coordinator,0.619619,Приоритет проверки 0.620: оборот 1833494.00 KZT; связей 17; путей от seed 7; посредничество 0.00216.
24,100000008547844100,coordinator,0.617771,Приоритет проверки 0.618: оборот 2219799.00 KZT; связей 22; путей от seed 8; посредничество 0.00126.
25,100000008165763100,coordinator,0.616033,Приоритет проверки 0.616: оборот 2433673.00 KZT; связей 32; путей от seed 9; посредничество 0.00025.
26,100000001857829100,coordinator,0.615913,Приоритет проверки 0.616: оборот 3279528.00 KZT; связей 22; путей от seed 7; посредничество 0.00125.
27,100000006707582100,distributor,0.612321,Приоритет проверки 0.612: оборот 1000658.00 KZT; связей 16; путей от seed 1; посредничество 0.00576.
28,100000004156082100,coordinator,0.604321,Приоритет проверки 0.604: оборот 2696922.11 KZT; связей 31; путей от seed 7; посредничество 0.00039.
29,100000004188160100,distributor,0.599541,Приоритет проверки 0.600: оборот 221708.00 KZT; связей 7; путей от seed 7; посредничество 0.00418.
30,100000003242289100,coordinator,0.59922,Приоритет проверки 0.599: оборот 2928532.00 KZT; связей 26; путей от seed 7; посредничество 0.00047.
31,100000008710843100,distributor,0.592758,Приоритет проверки 0.593: оборот 2019444.00 KZT; связей 15; путей от seed 8; посредничество 0.00111.
32,100000007639767100,coordinator,0.585518,Приоритет проверки 0.586: оборот 913157.00 KZT; связей 14; путей от seed 7; посредничество 0.00175.
33,100000008465789100,distributor,0.580717,Приоритет проверки 0.581: оборот 1888199.00 KZT; связей 17; путей от seed 8; посредничество 0.00054.
34,100000008466579100,distributor,0.579924,Приоритет проверки 0.580: оборот 1969952.00 KZT; связей 19; путей от seed 8; посредничество 0.00030.
35,100000003880331100,distributor,0.578169,Приоритет проверки 0.578: оборот 4004908.00 KZT; связей 17; путей от seed 7; посредничество 0.00029.
36,100000008743913100,coordinator,0.577392,Приоритет проверки 0.577: оборот 1999900.00 KZT; связей 16; путей от seed 9; посредничество 0.00024.
37,100000008517538100,coordinator,0.575022,Приоритет проверки 0.575: оборот 1594500.00 KZT; связей 20; путей от seed 8; посредничество 0.00017.
38,100000004569484100,peripheral,0.57443,Приоритет проверки 0.574: оборот 254312.00 KZT; связей 6; путей от seed 7; посредничество 0.00348.
39,100000003854444100,distributor,0.573949,Приоритет проверки 0.574: оборот 2532909.00 KZT; связей 15; путей от seed 7; посредничество 0.00063.
40,100000007442518100,coordinator,0.571124,Приоритет проверки 0.571: оборот 4929999.00 KZT; связей 14; путей от seed 7; посредничество 0.00025.
41,100000005578559100,distributor,0.569885,Приоритет проверки 0.570: оборот 1024163.67 KZT; связей 23; путей от seed 7; посредничество 0.00032.
42,100000002578405100,distributor,0.56969,Приоритет проверки 0.570: оборот 4308703.00 KZT; связей 118; путей от seed 1; посредничество 0.00000.
43,100000003115284100,coordinator,0.568543,Приоритет проверки 0.569: оборот 2677500.00 KZT; связей 10; путей от seed 11; посредничество 0.00009.
44,100000008512827100,coordinator,0.564633,Приоритет проверки 0.565: оборот 2052449.00 KZT; связей 13; путей от seed 9; посредничество 0.00013.
45,100000008413748100,distributor,0.564235,Приоритет проверки 0.564: оборот 1403800.22 KZT; связей 20; путей от seed 7; посредничество 0.00017.
46,100000008636603100,distributor,0.5636,Приоритет проверки 0.564: оборот 194835.00 KZT; связей 8; путей от seed 7; посредничество 0.00283.
47,100000001530983100,coordinator,0.563286,Приоритет проверки 0.563: оборот 2393696.00 KZT; связей 15; путей от seed 7; посредничество 0.00030.
48,100000005287097100,distributor,0.563281,Приоритет проверки 0.563: оборот 824473.00 KZT; связей 11; путей от seed 7; посредничество 0.00145.
49,100000004847758100,coordinator,0.562759,Приоритет проверки 0.563: оборот 603971.00 KZT; связей 19; путей от seed 7; посредничество 0.00071.
50,100000008742053100,distributor,0.561267,Приоритет проверки 0.561: оборот 2799000.00 KZT; связей 13; путей от seed 8; посредничество 0.00009.
